review_item_key,supplier_code,source_page,normalized_material_code,unit_price,decision,block_reason,human_note
ABB_P18_1SDA066799R1_2584800,ABB,18,1SDA066799R1,2584800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066810R1_3362400,ABB,18,1SDA066810R1,3362400,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066800R1_2584800,ABB,18,1SDA066800R1,2584800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066811R1_3362400,ABB,18,1SDA066811R1,3362400,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066801R1_2584800,ABB,18,1SDA066801R1,2584800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066812R1_3362400,ABB,18,1SDA066812R1,3362400,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066802R1_2584800,ABB,18,1SDA066802R1,2584800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066813R1_3362400,ABB,18,1SDA066813R1,3362400,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066803R1_2584800,ABB,18,1SDA066803R1,2584800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066814R1_3362400,ABB,18,1SDA066814R1,3362400,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066804R1_2985600,ABB,18,1SDA066804R1,2985600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066815R1_3880800,ABB,18,1SDA066815R1,3880800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066805R1_2985600,ABB,18,1SDA066805R1,2985600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066816R1_3880800,ABB,18,1SDA066816R1,3880800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066806R1_2985600,ABB,18,1SDA066806R1,2985600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066817R1_3880800,ABB,18,1SDA066817R1,3880800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066807R1_3583200,ABB,18,1SDA066807R1,3583200,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066818R1_4658400,ABB,18,1SDA066818R1,4658400,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066808R1_3760800,ABB,18,1SDA066808R1,3760800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066888R1_4888800,ABB,18,1SDA066888R1,4888800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066809R1_4888800,ABB,18,1SDA066809R1,4888800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA066820R1_6352800,ABB,18,1SDA066820R1,6352800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067391R1_3672000,ABB,18,1SDA067391R1,3672000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067400R1_4776000,ABB,18,1SDA067400R1,4776000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067392R1_3672000,ABB,18,1SDA067392R1,3672000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067401R1_4776000,ABB,18,1SDA067401R1,4776000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067393R1_3672000,ABB,18,1SDA067393R1,3672000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067402R1_4776000,ABB,18,1SDA067402R1,4776000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067394R1_3904800,ABB,18,1SDA067394R1,3904800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067403R1_5076000,ABB,18,1SDA067403R1,5076000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067395R1_3904800,ABB,18,1SDA067395R1,3904800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067404R1_5076000,ABB,18,1SDA067404R1,5076000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067396R1_3996000,ABB,18,1SDA067396R1,3996000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067405R1_5193600,ABB,18,1SDA067405R1,5193600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067397R1_3996000,ABB,18,1SDA067397R1,3996000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067406R1_5193600,ABB,18,1SDA067406R1,5193600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067398R1_4195200,ABB,18,1SDA067398R1,4195200,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067409R1_5452800,ABB,18,1SDA067409R1,5452800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067399R1_5452800,ABB,18,1SDA067399R1,5452800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067408R1_7084800,ABB,18,1SDA067408R1,7084800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067000R1_6945600,ABB,18,1SDA067000R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067021R1_9028800,ABB,18,1SDA067021R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067001R1_6945600,ABB,18,1SDA067001R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067022R1_9028800,ABB,18,1SDA067022R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067002R1_6945600,ABB,18,1SDA067002R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067023R1_9028800,ABB,18,1SDA067023R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067003R1_6945600,ABB,18,1SDA067003R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067024R1_9028800,ABB,18,1SDA067024R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067004R1_6945600,ABB,18,1SDA067004R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067025R1_9028800,ABB,18,1SDA067025R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067005R1_6945600,ABB,18,1SDA067005R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067026R1_9028800,ABB,18,1SDA067026R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067006R1_6945600,ABB,18,1SDA067006R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067027R1_9028800,ABB,18,1SDA067027R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067007R1_6945600,ABB,18,1SDA067007R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067028R1_9028800,ABB,18,1SDA067028R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067008R1_6945600,ABB,18,1SDA067008R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067029R1_9028800,ABB,18,1SDA067029R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067009R1_6945600,ABB,18,1SDA067009R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067030R1_9028800,ABB,18,1SDA067030R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067010R1_6945600,ABB,18,1SDA067010R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067031R1_9028800,ABB,18,1SDA067031R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067011R1_6945600,ABB,18,1SDA067011R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067032R1_9028800,ABB,18,1SDA067032R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067012R1_6945600,ABB,18,1SDA067012R1,6945600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067033R1_9028800,ABB,18,1SDA067033R1,9028800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067411R1_4629600,ABB,18,1SDA067411R1,4629600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067419R1_6019200,ABB,18,1SDA067419R1,6019200,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067412R1_4629600,ABB,18,1SDA067412R1,4629600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067420R1_6019200,ABB,18,1SDA067420R1,6019200,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067413R1_4629600,ABB,18,1SDA067413R1,4629600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067421R1_6019200,ABB,18,1SDA067421R1,6019200,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067414R1_4629600,ABB,18,1SDA067414R1,4629600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067422R1_6019200,ABB,18,1SDA067422R1,6019200,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067415R1_4629600,ABB,18,1SDA067415R1,4629600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067423R1_6019200,ABB,18,1SDA067423R1,6019200,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067416R1_4629600,ABB,18,1SDA067416R1,4629600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067424R1_6019200,ABB,18,1SDA067424R1,6019200,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067417R1_5668800,ABB,18,1SDA067417R1,5668800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067427R1_7372800,ABB,18,1SDA067427R1,7372800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067418R1_7596000,ABB,18,1SDA067418R1,7596000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA067426R1_9876000,ABB,18,1SDA067426R1,9876000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA068058R1_8642400,ABB,18,1SDA068058R1,8642400,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA068065R1_11236800,ABB,18,1SDA068065R1,11236800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA068059R1_9364800,ABB,18,1SDA068059R1,9364800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA068066R1_12177600,ABB,18,1SDA068066R1,12177600,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA054117R1_16564800,ABB,18,1SDA054117R1,16564800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA054121R1_23188800,ABB,18,1SDA054121R1,23188800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA054317R1_17500800,ABB,18,1SDA054317R1,17500800,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA054325R1_22752000,ABB,18,1SDA054325R1,22752000,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA054396R1_28274400,ABB,18,1SDA054396R1,28274400,UNREVIEWED,missing_human_approval,
ABB_P18_1SDA054400R1_36756000,ABB,18,1SDA054400R1,36756000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067550R1_7221600,ABB,19,1SDA067550R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067571R1_9388800,ABB,19,1SDA067571R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067551R1_7221600,ABB,19,1SDA067551R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067572R1_9388800,ABB,19,1SDA067572R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067552R1_7221600,ABB,19,1SDA067552R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067573R1_9388800,ABB,19,1SDA067573R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067553R1_7221600,ABB,19,1SDA067553R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067574R1_9388800,ABB,19,1SDA067574R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067554R1_7221600,ABB,19,1SDA067554R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067575R1_9388800,ABB,19,1SDA067575R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067555R1_7221600,ABB,19,1SDA067555R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067576R1_9388800,ABB,19,1SDA067576R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067556R1_7221600,ABB,19,1SDA067556R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067577R1_9388800,ABB,19,1SDA067577R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067557R1_7221600,ABB,19,1SDA067557R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067578R1_9388800,ABB,19,1SDA067578R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067558R1_7221600,ABB,19,1SDA067558R1,7221600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067579R1_9388800,ABB,19,1SDA067579R1,9388800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067559R1_9648000,ABB,19,1SDA067559R1,9648000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067580R1_12540000,ABB,19,1SDA067580R1,12540000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067560R1_12240000,ABB,19,1SDA067560R1,12240000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067581R1_15909600,ABB,19,1SDA067581R1,15909600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068220R1_9693600,ABB,19,1SDA068220R1,9693600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068227R1_12600000,ABB,19,1SDA068227R1,12600000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068221R1_10701600,ABB,19,1SDA068221R1,10701600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068228R1_13910400,ABB,19,1SDA068228R1,13910400,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054125R1_19063200,ABB,19,1SDA054125R1,19063200,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054129R1_26688000,ABB,19,1SDA054129R1,26688000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054333R1_19447200,ABB,19,1SDA054333R1,19447200,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054341R1_25281600,ABB,19,1SDA054341R1,25281600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054404R1_31416000,ABB,19,1SDA054404R1,31416000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054408R1_40843200,ABB,19,1SDA054408R1,40843200,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067594R1_7500000,ABB,19,1SDA067594R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067615R1_9748800,ABB,19,1SDA067615R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067595R1_7500000,ABB,19,1SDA067595R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067616R1_9748800,ABB,19,1SDA067616R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067596R1_7500000,ABB,19,1SDA067596R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067617R1_9748800,ABB,19,1SDA067617R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067597R1_7500000,ABB,19,1SDA067597R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067618R1_9748800,ABB,19,1SDA067618R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067598R1_7500000,ABB,19,1SDA067598R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067619R1_9748800,ABB,19,1SDA067619R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067599R1_7500000,ABB,19,1SDA067599R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067620R1_9748800,ABB,19,1SDA067620R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067600R1_7500000,ABB,19,1SDA067600R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067621R1_9748800,ABB,19,1SDA067621R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067601R1_7500000,ABB,19,1SDA067601R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067622R1_9748800,ABB,19,1SDA067622R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067602R1_7500000,ABB,19,1SDA067602R1,7500000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067623R1_9748800,ABB,19,1SDA067623R1,9748800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067603R1_10336800,ABB,19,1SDA067603R1,10336800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067624R1_13440000,ABB,19,1SDA067624R1,13440000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067604R1_12480000,ABB,19,1SDA067604R1,12480000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067625R1_16226400,ABB,19,1SDA067625R1,16226400,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068343R1_14822400,ABB,19,1SDA068343R1,14822400,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068362R1_20752800,ABB,19,1SDA068362R1,20752800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068345R1_16365600,ABB,19,1SDA068345R1,16365600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068364R1_22912800,ABB,19,1SDA068364R1,22912800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054133R1_20659200,ABB,19,1SDA054133R1,20659200,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054137R1_28922400,ABB,19,1SDA054137R1,28922400,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054349R1_20880000,ABB,19,1SDA054349R1,20880000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054357R1_27141600,ABB,19,1SDA054357R1,27141600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054412R1_36928800,ABB,19,1SDA054412R1,36928800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054416R1_48002400,ABB,19,1SDA054416R1,48002400,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067638R1_9000000,ABB,19,1SDA067638R1,9000000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067659R1_11700000,ABB,19,1SDA067659R1,11700000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067640R1_9000000,ABB,19,1SDA067640R1,9000000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067661R1_11700000,ABB,19,1SDA067661R1,11700000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067641R1_9000000,ABB,19,1SDA067641R1,9000000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067662R1_11700000,ABB,19,1SDA067662R1,11700000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067642R1_9000000,ABB,19,1SDA067642R1,9000000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067663R1_11700000,ABB,19,1SDA067663R1,11700000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067643R1_9000000,ABB,19,1SDA067643R1,9000000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067664R1_11700000,ABB,19,1SDA067664R1,11700000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067644R1_9000000,ABB,19,1SDA067644R1,9000000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067665R1_11700000,ABB,19,1SDA067665R1,11700000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067645R1_9000000,ABB,19,1SDA067645R1,9000000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067666R1_11700000,ABB,19,1SDA067666R1,11700000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067646R1_9000000,ABB,19,1SDA067646R1,9000000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067667R1_11700000,ABB,19,1SDA067667R1,11700000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067647R1_12405600,ABB,19,1SDA067647R1,12405600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067668R1_16125600,ABB,19,1SDA067668R1,16125600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067648R1_14978400,ABB,19,1SDA067648R1,14978400,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA067669R1_19471200,ABB,19,1SDA067669R1,19471200,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068555R1_21604800,ABB,19,1SDA068555R1,21604800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA068575R1_30242400,ABB,19,1SDA068575R1,30242400,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054141R1_26239200,ABB,19,1SDA054141R1,26239200,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054145R1_36732000,ABB,19,1SDA054145R1,36732000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054365R1_29856000,ABB,19,1SDA054365R1,29856000,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054373R1_38812800,ABB,19,1SDA054373R1,38812800,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054420R1_40617600,ABB,19,1SDA054420R1,40617600,UNREVIEWED,missing_human_approval,
ABB_P19_1SDA054424R1_52807200,ABB,19,1SDA054424R1,52807200,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA060268R1_38611200,ABB,20,1SDA060268R1,38611200,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA060273R1_50196000,ABB,20,1SDA060273R1,50196000,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA060278R1_42844800,ABB,20,1SDA060278R1,42844800,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA060283R1_55699200,ABB,20,1SDA060283R1,55699200,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062738R1_46692000,ABB,20,1SDA062738R1,46692000,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062746R1_60698400,ABB,20,1SDA062746R1,60698400,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062866R1_52226400,ABB,20,1SDA062866R1,52226400,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062874R1_67893600,ABB,20,1SDA062874R1,67893600,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062994R1_75544800,ABB,20,1SDA062994R1,75544800,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA063002R1_98212800,ABB,20,1SDA063002R1,98212800,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA060289R1_49346400,ABB,20,1SDA060289R1,49346400,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA060294R1_64152000,ABB,20,1SDA060294R1,64152000,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062770R1_53390400,ABB,20,1SDA062770R1,53390400,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062778R1_69403200,ABB,20,1SDA062778R1,69403200,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062898R1_58728000,ABB,20,1SDA062898R1,58728000,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062906R1_76344000,ABB,20,1SDA062906R1,76344000,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA063026R1_87662400,ABB,20,1SDA063026R1,87662400,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA063034R1_113961600,ABB,20,1SDA063034R1,113961600,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA060299R1_59294400,ABB,20,1SDA060299R1,59294400,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA060305R1_77085600,ABB,20,1SDA060305R1,77085600,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062802R1_65184000,ABB,20,1SDA062802R1,65184000,UNREVIEWED,missing_human_approval,
ABB_P20_1SDA062810R1_84739200,ABB,20,1SDA062810R1,84739200,UNREVIEWED,missing_human_approval,
